,upper_salary,lower_salary,state,city,Job Title,Company Rating,company_name,tot_employment_in_state,Annual mean wage(2),Annual median wage(2),range_avg_to_mean_ratio,range_avg_to_median_ratio,labels,total_new_post_rat
39,175000.0,151000.0,MA,Dedham,Senior AIOps Engineer,4.4,Health Data Analytics Institute,7400.0,125100.0,121560.0,1.3029576338928857,1.340901612372491,east,0.0017567567567567566
40,104000.0,104000.0,MA,Lexington,IT Site Engineer (labs),3.4,Oxford Global Resources,7400.0,125100.0,121560.0,0.8313349320543565,0.855544587035209,east,0.0017567567567567566
41,200000.0,153000.0,MA,Boston,Sr. Digital Signal Processing Engineer,3.8123006833712982,Cherish Health,7400.0,125100.0,121560.0,1.410871302957634,1.451957880881869,east,0.0017567567567567566
42,105000.0,100000.0,MA,Boston,Data Scientist,3.8,Commonwealth Health Insurance Connector Authority,7400.0,125100.0,121560.0,0.8193445243804957,0.843205001645278,east,0.0017567567567567566
43,200000.0,140000.0,MA,Boston,Sr. Data Science Engineer,3.8123006833712982,Cherish Health,7400.0,125100.0,121560.0,1.3589128697042363,1.3984863441921684,east,0.0017567567567567566
46,157000.0,118000.0,MA,Cambridge,Data Science Engineer II,3.3,ConcertAI,7400.0,125100.0,121560.0,1.09912070343725,1.1311286607436657,east,0.0017567567567567566
48,247000.0,141000.0,MA,Boston,"Director I, Data Science",3.7,Liberty Mutual,7400.0,125100.0,121560.0,1.5507593924860112,1.595919710431063,east,0.0017567567567567566
49,129000.0,92000.0,MA,Westwood,Data Scientist,3.6,Citizens,7400.0,125100.0,121560.0,0.8832933653077538,0.9090161237249096,east,0.0017567567567567566
50,158000.0,158000.0,MA,Marlborough,Director Data Science,3.0,BJ's Wholesale Club,7400.0,125100.0,121560.0,1.2629896083133494,1.2997696610727212,east,0.0017567567567567566
51,160000.0,106000.0,MA,Boston,Knowledge Analyst - (Gen) AI and Digital Transformation,4.2,Boston Consulting Group,7400.0,125100.0,121560.0,1.0631494804156674,1.094109904573873,east,0.0017567567567567566
52,245000.0,166000.0,FL,Tampa,Principal Data Scientist,3.8123006833712982,HelloGov,8400.0,106490.0,95360.0,1.929758662785238,2.154991610738255,south,0.0032142857142857147
53,65000.0,60000.0,FL,Palm Beach Gardens,Training Department Supervisor,1.0,Esquire Law Services,8400.0,106490.0,95360.0,0.5869095689736126,0.6554110738255033,south,0.0032142857142857147
54,169000.0,112000.0,FL,Miami,Senior Data Scientist,4.1,Idea Financial,8400.0,106490.0,95360.0,1.319372711052681,1.4733640939597314,south,0.0032142857142857147
55,90000.0,90000.0,FL,Coral Gables,Senior Data Analyst (Hybrid Remote),4.1,Genuine Health Group,8400.0,106490.0,95360.0,0.8451497793220021,0.9437919463087248,south,0.0032142857142857147
56,84000.0,55000.0,FL,Tallahassee,Data Analyst (Onsite),4.5,The Greentree Group,8400.0,106490.0,95360.0,0.6526434406986571,0.7288171140939598,south,0.0032142857142857147
57,174000.0,98000.0,FL,Pensacola,Senior Data Scientist,4.1,Navy Federal Credit Union,8400.0,106490.0,95360.0,1.277115222086581,1.4261744966442953,south,0.0032142857142857147
58,200000.0,112000.0,FL,Pensacola,Principal Data Scientist - Time Series,4.1,Navy Federal Credit Union,8400.0,106490.0,95360.0,1.464926284158137,1.6359060402684564,south,0.0032142857142857147
59,148165.49199084667,104355.33180778033,FL,West Palm Beach,Data Analyst,3.8123006833712982,Cellcore Biosciences,8400.0,106490.0,95360.0,1.18565510282011,1.3240395543132708,south,0.0032142857142857147
60,155000.0,130000.0,FL,Tampa,"Data Governance, VP",3.5,"MUFG Bank, Ltd.",8400.0,106490.0,95360.0,1.3381538172598366,1.4943372483221478,south,0.0032142857142857147
61,122000.0,106000.0,FL,Tampa,"Data Platform Business Ownership, AVP",3.5,"MUFG Bank, Ltd.",8400.0,106490.0,95360.0,1.0705230538078694,1.195469798657718,south,0.0032142857142857147
62,117000.0,86000.0,FL,Juno Beach,Data Science Automation Engineer,3.8123006833712982,Realign LLC,8400.0,106490.0,95360.0,0.9531411400131468,1.0643875838926171,south,0.0032142857142857147
63,139000.0,77000.0,FL,Pensacola,Model Risk Governance Analyst,4.1,Navy Federal Credit Union,8400.0,106490.0,95360.0,1.0141797351864026,1.1325503355704698,south,0.0032142857142857147
67,72800.0,52000.0,FL,Boca Raton,"Junior Data Scientist, Center for Online & Continuing Education",3.9,Florida Atlantic University,8400.0,106490.0,95360.0,0.5859705136632548,0.6543624161073825,south,0.0032142857142857147
70,152000.0,83000.0,FL,Miami,"Data Scientist, United States - BCG X",4.2,Boston Consulting Group,8400.0,106490.0,95360.0,1.1033899896703916,1.2321728187919463,south,0.0032142857142857147
71,95000.0,75000.0,FL,Fort Lauderdale,Drone Services Manager,4.4,Advanced Roofing Inc,8400.0,106490.0,95360.0,0.798197013804113,0.8913590604026845,south,0.0032142857142857147
72,87360.0,64480.0,FL,Miami,Law Enforcement Data Analyst,3.8,Kforce,8400.0,106490.0,95360.0,0.7129307916236266,0.7961409395973155,south,0.0032142857142857147
73,135200.0,114400.0,FL,Fort Walton Beach,Data Scientist,3.8,TEKsystems,8400.0,106490.0,95360.0,1.1719410273265096,1.308724832214765,south,0.0032142857142857147
75,119000.0,94000.0,FL,Miramar,Senior Data Analyst,3.4,Fanatics Inc.,8400.0,106490.0,95360.0,1.0000939055310358,1.1168204697986577,south,0.0032142857142857147
76,78000.0,52000.0,FL,Miami Lakes,Financial Crimes Compliance Model Analyst - Remote,3.9,BankUnited,8400.0,106490.0,95360.0,0.610385951732557,0.6816275167785235,south,0.0032142857142857147
77,148165.49199084667,104355.33180778033,FL,Lake Mary,"Vice President, Metrics and Analytics",3.5,BNY Mellon,8400.0,106490.0,95360.0,1.18565510282011,1.3240395543132708,south,0.0032142857142857147
78,94000.0,67000.0,FL,Fort Lauderdale,Senior Data Analyst,3.7,Convey -- US,8400.0,106490.0,95360.0,0.755939524838013,0.8441694630872483,south,0.0032142857142857147
79,148165.49199084667,104355.33180778033,OH,Rocky River,Space Communications Analyst,3.8123006833712982,Comsat Architects,4660.0,97530.0,97070.0,1.2945802511977187,1.3007150705605597,midwest,0.0030042918454935624
80,148165.49199084667,104355.33180778033,OH,Independence,Business Process Project Manager,3.8123006833712982,All Erection & Crane Rental,4660.0,97530.0,97070.0,1.2945802511977187,1.3007150705605597,midwest,0.0030042918454935624
81,135000.0,95000.0,OH,West Chester,Data Scientist - Manufacturing Analytics,3.7,Pilot Chemical Co.,4660.0,97530.0,97070.0,1.1791243719881062,1.1847120634593593,midwest,0.0030042918454935624
82,148165.49199084667,104355.33180778033,OH,Dayton,Lead Sr. Data Engineer | Scientist,3.8123006833712982,Evrecruit.io,4660.0,97530.0,97070.0,1.2945802511977187,1.3007150705605597,midwest,0.0030042918454935624
83,148165.49199084667,104355.33180778033,OH,Columbus,District Manager,3.6,Inizio Engage,4660.0,97530.0,97070.0,1.2945802511977187,1.3007150705605597,midwest,0.0030042918454935624
85,81120.0,64480.0,OH,Cincinnati,"Experienced Registered Nurse, Acute, Hematology/Oncology",4.1,Cincinnati Children's Hospital Medical Center,4660.0,97530.0,97070.0,0.7464369937455142,0.7499742453899247,midwest,0.0030042918454935624
86,104000.0,49920.0,OH,Cincinnati,Quality Systems Data Science Co-Op- Fall 2024,4.2,Johnson & Johnson,4660.0,97530.0,97070.0,0.7890905362452578,0.7928299165550634,midwest,0.0030042918454935624
90,177000.0,149000.0,OH,Cincinnati,"Director, Platform Engineering",4.1,Procter & Gamble,4660.0,97530.0,97070.0,1.671280631600533,1.6792005769032656,midwest,0.0030042918454935624
91,76960.0,72800.0,OH,Columbus,Data Analyst,3.8,Kforce,4660.0,97530.0,97070.0,0.767763764995386,0.7714020809724941,midwest,0.0030042918454935624
92,145600.0,124800.0,OH,Cleveland,Senior Data Scientist,3.8,Brooksource,4660.0,97530.0,97070.0,1.3862401312416692,1.3928093128670032,midwest,0.0030042918454935624
93,170000.0,140000.0,CA,San Diego,Machine Learning Engineer,3.3,Digital Force Technologies,33220.0,140490.0,133690.0,1.1032813723396684,1.1593986087216694,west,0.0014750150511739916
94,175000.0,125000.0,CA,San Diego,Lead AI Developer,3.6,SeeScan Inc.,33220.0,140490.0,133690.0,1.067691650651292,1.1219986536016158,west,0.0014750150511739916
95,248000.0,165000.0,CA,Los Angeles,"Director - Systems and Technology - Data, Artificial Intelligence and Portfolio Delivery",4.4,SoCalGas,33220.0,140490.0,133690.0,1.4698555057299452,1.5446181464582245,west,0.0014750150511739916
96,75000.0,65000.0,CA,Anaheim,Digital Marketing Specialist (Paid Media Focus),2.9,Gentle Monster,33220.0,140490.0,133690.0,0.4982561036372696,0.523599371680754,west,0.0014750150511739916
97,200000.0,125000.0,CA,Emeryville,Machine Learning Engineer (Perception and Planning),3.8123006833712982,BlueSpace.ai,33220.0,140490.0,133690.0,1.156665954872233,1.2154985414017505,west,0.0014750150511739916
98,95000.0,75000.0,CA,Anaheim,Logistics Data Analyst,3.8123006833712982,Line Drive Trucking,33220.0,140490.0,133690.0,0.6050252687023987,0.6357992370409156,west,0.0014750150511739916
99,80000.0,65000.0,CA,Tustin,Analytical Flavor Chemist,4.2,"Abstrax Tech, Inc.",33220.0,140490.0,133690.0,0.5160509644814577,0.5422993492407809,west,0.0014750150511739916
107,148165.49199084667,104355.33180778033,CA,Palo Alto,Pharmaceutical Field Sales Representative,3.6,Inizio Engage,33220.0,140490.0,133690.0,0.898714583951267,0.9444267476947678,west,0.0014750150511739916
110,125000.0,93000.0,CA,Santa Monica,Data Analyst,3.8,Disney Direct to Consumer,33220.0,140490.0,133690.0,0.7758559328066055,0.8153190216171741,west,0.0014750150511739916
115,111000.0,59000.0,CA,Los Angeles,"Medical Science Liaison, Endocrinology/Rare Disease",3.6,Inizio Engage,33220.0,140490.0,133690.0,0.6050252687023987,0.6357992370409156,west,0.0014750150511739916
116,339000.0,180000.0,CA,Santa Clara,"Senior Performance Software Engineer, Deep Learning Libraries",4.6,NVIDIA,33220.0,140490.0,133690.0,1.847106555626735,1.9410576707307952,west,0.0014750150511739916
117,140000.0,90000.0,CA,Carlsbad,Data Scientist / Statistician,3.5,Active Motif Inc,33220.0,140490.0,133690.0,0.8185635988326572,0.8601989677612387,west,0.0014750150511739916
119,148165.49199084667,104355.33180778033,CA,Los Angeles,Territory Business Manager,3.6,Inizio Engage,33220.0,140490.0,133690.0,0.898714583951267,0.9444267476947678,west,0.0014750150511739916
122,234000.0,97000.0,CA,San Jose,Senior Technical Product Manager-AI,3.8,PayPal,33220.0,140490.0,133690.0,1.1780197878852587,1.237938514473783,west,0.0014750150511739916
124,241280.0,149760.0,CA,Sacramento,"Director, Data Science & Artificial Intelligence",3.9,Sutter Health,33220.0,140490.0,133690.0,1.3917004769022707,1.462487845014586,west,0.0014750150511739916
125,108000.0,69000.0,CA,Rancho Cucamonga,Solution Developer I - Automation & Innovation Management,3.7,Inland Empire Health Plan,33220.0,140490.0,133690.0,0.6299380738842623,0.6619792056249533,west,0.0014750150511739916
129,260000.0,194000.0,CA,San Diego,"Director, Business Data Science & Analytics",3.8,AppFolio,33220.0,140490.0,133690.0,1.6157733646522885,1.697957962450445,west,0.0014750150511739916
130,148165.49199084667,104355.33180778033,CA,San Ramon,Senior Data Scientist,3.8,Robert Half,33220.0,140490.0,133690.0,0.898714583951267,0.9444267476947678,west,0.0014750150511739916
131,176000.0,98000.0,CA,Los Angeles,"Data Scientist, United States - BCG X",4.2,Boston Consulting Group,33220.0,140490.0,133690.0,0.9751583742615132,1.0247587702894756,west,0.0014750150511739916
133,207000.0,145000.0,CA,Los Gatos,Data Engineer (L5)- Business Intelligence,4.1,Netflix,33220.0,140490.0,133690.0,1.252758203430849,1.3164784202258957,west,0.0014750150511739916
134,131000.0,78000.0,CA,Thousand Oaks,"Senior Manager, Decision Science",5.0,Penfield Search Partners,33220.0,140490.0,133690.0,0.7438251832870667,0.7816590620091256,west,0.0014750150511739916
135,357000.0,188000.0,CA,Santa Clara,"Reliability, Availability and Serviceability Expert, Datacenter AI Products Development",4.6,NVIDIA,33220.0,140490.0,133690.0,1.9396398320165136,2.038297554042935,west,0.0014750150511739916
136,339000.0,180000.0,CA,Santa Clara,Senior AI-HPC Storage Engineer,4.6,NVIDIA,33220.0,140490.0,133690.0,1.847106555626735,1.9410576707307952,west,0.0014750150511739916
137,149760.0,128960.0,CA,Fremont,Python - Big Data,3.8,Kforce,33220.0,140490.0,133690.0,0.991956722898427,1.042411549106141,west,0.0014750150511739916
138,124800.0,114400.0,CA,Campbell,Data Scientist & Engineer,4.0,Aquent,33220.0,140490.0,133690.0,0.8513061427859634,0.8946069264716883,west,0.0014750150511739916
139,130000.0,99000.0,CA,Irvine,"Data Engineer (On-Site, Irvine, CA)",3.9,Ctc Global Corporation,33220.0,140490.0,133690.0,0.8150046266638195,0.8564589722492333,west,0.0014750150511739916
140,230000.0,180000.0,CA,Glendale,Applied Scientist (Audio 3D Vision) - $180-$230k,4.0,CyberCoders,33220.0,140490.0,133690.0,1.4591785892234324,1.5333981599222082,west,0.0014750150511739916
141,190000.0,160000.0,CA,Pleasanton,"Engineer, Generative AI",3.5,Vagaro,33220.0,140490.0,133690.0,1.245640259093174,1.308998429201885,west,0.0014750150511739916
142,113000.0,90000.0,AZ,Phoenix,RN Clinical Educator,3.6,Inizio Engage,3800.0,112470.0,106400.0,0.9024628789899528,0.9539473684210528,south,0.0010526315789473684
143,47840.0,43680.0,AZ,Phoenix,Legal Assistant,1.0,Esquire Law,3800.0,112470.0,106400.0,0.4068640526362586,0.4300751879699248,south,0.0010526315789473684
144,35360.0,35360.0,AZ,Phoenix,Front Desk/Mail Clerk,1.0,Esquire Law,3800.0,112470.0,106400.0,0.3143949497643816,0.3323308270676692,south,0.0010526315789473684
145,204000.0,121000.0,AZ,Chandler,Data Science - Leadership,4.0,US DHS Headquarters,3800.0,112470.0,106400.0,1.4448297323730772,1.5272556390977443,south,0.0010526315789473684
146,90000.0,90000.0,TX,Dallas,Senior Predictive Modeler,3.8123006833712982,Sitewise Analytics,20560.0,109000.0,100100.0,0.8256880733944955,0.8991008991008991,south,0.0021400778210116734
147,110000.0,100000.0,TX,Austin,Data Manager (NetSuite ERP) & Website Content Manager,3.8123006833712982,"Capitol Scientific, Inc.",20560.0,109000.0,100100.0,0.963302752293578,1.048951048951049,south,0.0021400778210116734
148,166400.0,145600.0,TX,Austin,Azure Data Architect,3.8,GTS Technology Solutions,20560.0,109000.0,100100.0,1.4311926605504588,1.5584415584415583,south,0.0021400778210116734
149,82000.0,52000.0,TX,Fort Worth,Statistician,4.0,Gladney Center for Adoption,20560.0,109000.0,100100.0,0.6146788990825688,0.6693306693306693,south,0.0021400778210116734
150,145000.0,140000.0,TX,Austin,SAP Performance Engineer,3.6,Siri InfoSolutions Inc,20560.0,109000.0,100100.0,1.3073394495412844,1.4235764235764237,south,0.0021400778210116734
153,120000.0,120000.0,TX,Austin,Software Developer,3.8123006833712982,"RF Code, Inc.",20560.0,109000.0,100100.0,1.1009174311926606,1.1988011988011988,south,0.0021400778210116734
154,29120.0,29120.0,TX,Houston,Junior Data Science,3.5,Tennis Express,20560.0,109000.0,100100.0,0.2671559633027523,0.2909090909090909,south,0.0021400778210116734
155,102000.0,67000.0,TX,Houston,Senior Marketing Data & Automation Analyst,4.4,"Arrivia, Inc.",20560.0,109000.0,100100.0,0.7752293577981652,0.8441558441558441,south,0.0021400778210116734
156,124800.0,108160.0,TX,Irving,Sr Financial Data Analyst,3.8,Robert Half,20560.0,109000.0,100100.0,1.0686238532110093,1.1636363636363636,south,0.0021400778210116734
157,97000.0,63000.0,TX,Austin,Data Science Trainee,3.7,CINTRA US SERVICES LLC,20560.0,109000.0,100100.0,0.7339449541284404,0.7992007992007992,south,0.0021400778210116734
158,124800.0,114400.0,TX,Not Listed,Data Scientist,3.0,Technocore360,20560.0,109000.0,100100.0,1.0972477064220183,1.1948051948051948,south,0.0021400778210116734
159,191000.0,118000.0,TX,Austin,"Consultant, Data Science (I9)",4.0,Dell,20560.0,109000.0,100100.0,1.4174311926605505,1.5434565434565437,south,0.0021400778210116734
161,121000.0,88000.0,TX,Spring,Returnship - Big Data Insights Developer,4.1,Hewlett Packard,20560.0,109000.0,100100.0,0.9587155963302753,1.043956043956044,south,0.0021400778210116734
166,172000.0,103000.0,TX,Irving,Data Scientist,3.7,MCKESSON,20560.0,109000.0,100100.0,1.261467889908257,1.3736263736263736,south,0.0021400778210116734
168,172000.0,108000.0,TX,Irving,Data Scientist II,3.7,MCKESSON,20560.0,109000.0,100100.0,1.2844036697247707,1.3986013986013983,south,0.0021400778210116734
170,100000.0,74000.0,TX,San Antonio,Associate Product Review Engineer,3.8,BOEING,20560.0,109000.0,100100.0,0.7981651376146789,0.8691308691308691,south,0.0021400778210116734
174,146000.0,93000.0,TX,Houston,Senior Research Data Scientist - Center for Health Data Science & Analytics,4.3,Houston Methodist Academic Institute,20560.0,109000.0,100100.0,1.0963302752293578,1.193806193806194,south,0.0021400778210116734
176,148165.49199084667,104355.33180778033,TX,Dallas,"AI - Innovation, Delivery and Business Development Leader (Consumer & Retail Focus)",4.0,Deloitte,20560.0,109000.0,100100.0,1.1583524027459955,1.261342776216918,south,0.0021400778210116734
178,124000.0,88000.0,TX,Irving,Data Architect II,4.0,GM Financial,20560.0,109000.0,100100.0,0.9724770642201837,1.0589410589410588,south,0.0021400778210116734
179,148165.49199084667,104355.33180778033,TX,Plano,"Manager, Data Science - Financial Services",3.9,Capital One,20560.0,109000.0,100100.0,1.1583524027459955,1.261342776216918,south,0.0021400778210116734
180,135200.0,93600.0,TX,San Antonio,Python Data Scientist,3.8,Kforce,20560.0,109000.0,100100.0,1.0495412844036698,1.1428571428571428,south,0.0021400778210116734
183,95000.0,51000.0,TX,Dallas,"Medical Science Liaison, Endocrinology/Rare Disease",3.6,Inizio Engage,20560.0,109000.0,100100.0,0.6697247706422018,0.7292707292707292,south,0.0021400778210116734
184,150000.0,125000.0,TX,Plano,Reporting Data Engineer,3.4,Nuvem,20560.0,109000.0,100100.0,1.261467889908257,1.3736263736263736,south,0.0021400778210116734
185,182000.0,137000.0,TX,Austin,"Senior Product Manager, Generalist - Remote",4.4,Dropbox,20560.0,109000.0,100100.0,1.463302752293578,1.5934065934065933,south,0.0021400778210116734
186,93600.0,83200.0,TX,Dallas,Business Intelligence Engineer / Data Visualization Engineer,4.0,Aquent,20560.0,109000.0,100100.0,0.8110091743119267,0.8831168831168831,south,0.0021400778210116734
187,147000.0,107000.0,TX,Georgetown,Data Scientist,5.0,"Openwork, LLC",20560.0,109000.0,100100.0,1.165137614678899,1.2687312687312686,south,0.0021400778210116734
188,160000.0,110000.0,TX,Irving,Principal Data Analyst,3.6,Citizens,20560.0,109000.0,100100.0,1.238532110091743,1.3486513486513487,south,0.0021400778210116734
189,148165.49199084667,104355.33180778033,TX,Arlington,Cloud Administrator,4.0,GM Financial,20560.0,109000.0,100100.0,1.1583524027459955,1.261342776216918,south,0.0021400778210116734
190,150000.0,120000.0,MN,Minneapolis,Senior Software Engineer,3.8123006833712982,Science On Call,2240.0,118760.0,114630.0,1.1367463792522734,1.1777021722062286,midwest,0.0008928571428571428
191,127000.0,89000.0,MN,Minneapolis,Data Science,3.7,Wipro Limited,2240.0,118760.0,114630.0,0.9093971034018188,0.942161737764983,midwest,0.0008928571428571428
192,55000.0,37000.0,IL,Vernon Hills,Junior Game Mathematician,3.5,Incredible Technologies,6320.0,115840.0,108580.0,0.3970994475138121,0.4236507644133357,midwest,0.00680379746835443
193,153000.0,88000.0,IL,Bolingbrook,Senior Data Scientist (Remote Available),2.9,S&S Activewear LLC,6320.0,115840.0,108580.0,1.0402279005524862,1.1097808067784125,midwest,0.00680379746835443
194,95000.0,90000.0,IL,Scott Air Force Base,Senior Statistician,3.8123006833712982,NextGen Federal Systems,6320.0,115840.0,108580.0,0.7985151933701657,0.85190642843986,midwest,0.00680379746835443
196,70000.0,60000.0,IL,Chicago,Marketing Campaign Analyst,3.8123006833712982,Gohagan & Company,6320.0,115840.0,108580.0,0.5611187845303868,0.5986369497144962,midwest,0.00680379746835443
202,148165.49199084667,104355.33180778033,IL,Chicago,Immunology Key Account Manager,3.6,Inizio Engage,6320.0,115840.0,108580.0,1.0899552132192118,1.1628330438323218,midwest,0.00680379746835443
203,80000.0,51000.0,IL,Chicago,Rapid Deployment Representative,3.6,Inizio Engage,6320.0,115840.0,108580.0,0.5654350828729282,0.6032418493276847,midwest,0.00680379746835443
